Age,M,F,
0-4,349247348,328119059,677366407
5-9-,341670620,320090537,661761157
10-14-,328942130,307203261,636145391
15-19,314806147,293931999,608738146
20-24,307809031,288834393,596643424
25-29,307548367,290783757,598332124
30-34,305762271,293702434,599464705
35-39,270507560,262936512,533444072
40-44,247594384,242696599,490290983
45-49,239897308,237022350,476919658
50-54,218833001,219504648,438337649
55-59,187135108,190624979,377760087
60-64,153758680,161570707,315329387
65-69,124471230,136004171,260475401
70-74,82793263,96515002,179308265
75-79,53073892,66973202,120047094
80-84,33071682,47305811,80377493
85-89,15423679,25733670,41157349
90-94,5370654,11222622,16593276
95-99,1203726,3239297,4443023
100+,114528,418582,533110
